昵称,性别,时间,点赅,评论,IP属地,"二级评论条数,条数相同说明在同一个人下面",等级,uid,rpid
clown388,保密,2024-12-08 09:35:15 北京时间,19,你们目光太短浅了，日韩两个小国家怎么发展起来的？生产的东西自己国家全部消化掉了？我们积极开发亚非拉等第三世界国家市场是为了啥？,广东,41,4,416156483,248740271521
北落北海,男,2024-12-08 10:20:00 北京时间,36,回复 @clown388 :但自己的市场是最保险的，不会因为天灾、战争之类的事件出现意外。,重庆,41,6,2794675,248744050753
池田エライザ,男,2024-12-08 12:25:37 北京时间,10,回复 @北落北海 : 对的，现在是在加大力度稳住国内基本盘，用一带一路金砖路线稳住外部盘。也就是说，我们整体的输出肯定会转向一阵子。,广东,41,6,66717712,249173795792
龘靐齉齾爩麤灪,男,2024-12-08 15:08:11 北京时间,1,回复 @池田エライザ :希望别像以前那样自己出工出力弄好了，扭头让别人抢走了[笑哭],新疆,41,6,30296303,249188145824
Lv_______,保密,2024-12-08 15:45:48 北京时间,52,楼主想过吗？美国人口不及我们的零头，人均消费能力可比我们强太多了。以后人口只会越来越少，尤其是年轻人，但是内需总量可能更高，生产强国同时也是消费强国，老百姓能为自己的兴趣爱好多买单，努力工作认真花钱，人民才有获得感幸福感。所以我认为做好社会财富分配，能者多劳，且多劳多得，实现共同富裕，比人口数量更紧要更迫切。欢迎指正[呲牙],福建,41,4,266157855,248771626929
小身材大污贼,保密,2024-12-08 16:28:57 北京时间,13,"逻辑不通，如果为了消费这1000个面包，我可以养1000只狗狗，并不一定需要人来消费。,,实际上人口的意义永远是生产～消费的循环，而不是只消费的垃圾桶。",江苏,41,5,215996291,248774835713
小身材大污贼,保密,2024-12-08 16:31:38 北京时间,8,"人类之所以能形成社会，就是人与人之间的价值交换，比如我生产面包，你生产衣服，我们互换产品。,,如果一个人不参与生产，那他应该用什么去和别人做价值交换呢？如果一个人只消费，那和垃圾桶又有什么区别？",江苏,41,5,215996291,248775035393
卖萌土土土,保密,2024-12-08 16:45:55 北京时间,5,回复 @Lv_______ :你连分配问题都不提，谁来消费？？？,福建,41,5,403559321,249195899344
飞羽刀,保密,2024-12-08 17:06:43 北京时间,12,"回复 @Lv_______ : 最关键的其实是分配问题，过去靠人口和房地产来做大的蛋糕尚且分配不均，未来的高尖端商品就能分配均了？,如果没解决分配问题，换了个营养更丰富的蛋糕，普通人又能吃得到吗？",广东,41,6,84122470,248777118737
孟庆水,保密,2024-12-08 17:08:25 北京时间,14,回复 @小身材大污贼 : 你养狗，不是你掏钱让狗消费的，难道是狗自己掏钱消费的？消费必须和货币结合在一起，不是把产品消耗掉就是消费。,河南,41,6,424201719,249197171184
o0刺猬0o,男,2024-12-08 17:12:01 北京时间,7,回复 @飞羽刀 : 赞同，其实就是分配问题，为什么要内循环，就是要让面包和衣服流通起来。是我不想住一千平大房子吗？是我资源不够多。资源没到我手上，怎么消费？,广西,41,6,3826199,248777259809
半疯er,保密,2024-12-08 18:19:03 北京时间,0,回复 @龘靐齉齾爩麤灪 : 这就涉及到国际局势因素了,河北,41,6,1531796,248779912577
无脑骑士,男,2024-12-08 22:32:43 北京时间,10,如果1000个面包无法消费，或许可以选择将原材料生产成其他产品，比如酒类，点心，提高生活质量,浙江,41,6,447820,249204414352
★巡天★,保密,2024-12-09 00:35:11 北京时间,2,回复 @Lv_______ :关键是共同富裕根本不可能出现,云南,41,5,10805078,248786873345
左腕上的表,保密,2024-12-09 00:56:27 北京时间,0,那也可以缩减人口的同时缩减产能。只要工人不够小兵没了，厂长光杆司令都得亲自上。,广东,41,6,87736021,249208328080
Kkkzzzfff,保密,2024-12-09 01:08:14 北京时间,1,回复 @★巡天★ :相信这四个字和相信我是秦始皇，打钱没区别,广东,41,6,188115351,248788303025
彷徨在二次元,男,2024-12-09 02:32:11 北京时间,0,国外市场要是有用，房价怎么跌了呢？,四川,41,6,3835883,248792325105
九九花开日,保密,2024-12-09 03:28:33 北京时间,0,最大的意义who care？他们只希望有人给他们生产更多的面包，并且享受他人为自己工作和服务的优越感。,河南,41,4,3493104099264514,249216294128
小身材大污贼,保密,2024-12-09 03:35:36 北京时间,0,回复 @孟庆水 :对啊，难道人消费不要掏钱？,江苏,41,5,215996291,248796024417
萌萌的坑美2003,保密,2024-12-09 03:42:59 北京时间,2,回复 @clown388 :你要不要看看你在说什么？亚非拉市场是广袤，但他们有钱消费吗？还是你想做慈善免费发给他们？,湖南,41,3,3546657274726625,249217413648
萌萌的坑美2003,保密,2024-12-09 03:44:10 北京时间,0,回复 @Lv_______ :你这说法列宁提过了，现实是做不到。,湖南,41,3,3546657274726625,249217474816
black仙女,保密,2024-12-09 03:45:39 北京时间,0,回复 @萌萌的坑美2003 :要么说共同发展呢？,四川,41,3,46893500,249217562640
萌萌的坑美2003,保密,2024-12-09 04:07:30 北京时间,0,回复 @black仙女 :让你分一半财产给穷人你愿意吗？,湖南,41,3,3546657274726625,249219102048
原来是锦年啊,保密,2024-12-09 04:50:40 北京时间,0,回复 @萌萌的坑美2003 :没钱所以就不拓展亚非拉市场了？中国改开前很有钱吗？建议你把初中政治再复习一遍。他们不发展永远没钱，我们不拓展永远没有市场，你以为一个国家的发展跟你吃饭一样那么快吗，中国开拓海外市场需要面对欧美堵截，与欧美起家那时候的环境相比恶劣的多,河南,41,5,291162468,248801504593
Cling-,男,2024-12-09 04:52:37 北京时间,0,回复 @无脑骑士 :蠢,广东,41,6,227701664,248801575969
萌萌的坑美2003,保密,2024-12-09 09:24:10 北京时间,0,回复 @原来是锦年啊 :问题是亚非拉有钱吗？先别说别的，你能把电视机卖给乞丐吗？,湖南,41,3,3546657274726625,249240423728
小身材大污贼,保密,2024-12-09 11:03:21 北京时间,0,回复 @萌萌的坑美2003 :帮乞丐找份工作，让他生产价值，那自然可以把电视卖给乞丐。,江苏,41,5,215996291,248826313233
小身材大污贼,保密,2024-12-09 11:12:26 北京时间,0,回复 @萌萌的坑美2003 :美国当年也有马歇尔计划帮助战后欧洲发展。,江苏,41,5,215996291,248827143393
萌萌的坑美2003,保密,2024-12-09 11:56:21 北京时间,0,回复 @小身材大污贼 :还是那句话，什么时候非洲人均收入过500美元一个月了什么时候再来考虑开拓亚非拉市场这件事。现在开拓亚非拉纯纯的给人做慈善。,湖南,41,3,3546657274726625,249253316848
萌萌的坑美2003,保密,2024-12-09 11:57:21 北京时间,0,回复 @小身材大污贼 :笑死，国内将近一半的人月收入不足1000你却跟我说让我们给非洲搞马歇尔计划？真做慈善是吧？,湖南,41,3,3546657274726625,249253342224
萌萌的坑美2003,保密,2024-12-09 12:00:18 北京时间,0,回复 @小身材大污贼 : 笑死，还马歇尔计划。你当扶贫不要钱是吗？国内一半人月收入不足1000的贫困人群你不管跑去给非洲人找工作，觉得我们的钱都是大风刮来的是吧？还有你自己百度一下我们企业和个人在非洲被抢几次了，找工作？你要不问问为啥当地中国企业宁愿花点钱从国内请人去工作也不愿雇当地人干活？,湖南,41,3,3546657274726625,249253581456
萌萌的坑美2003,保密,2024-12-09 12:01:29 北京时间,0,回复 @小身材大污贼 : 笑死，还马歇尔计划。你当钱大风刮来的是吗？,湖南,41,3,3546657274726625,249253727248
小身材大污贼,保密,2024-12-09 17:58:42 北京时间,0,"回复 @萌萌的坑美2003 :国内市场和国外是两盘棋，为什么要开拓非洲，因为非洲有我们需要的资源，要图谋非洲资源，你不去帮他们发展，别人凭什么给你。,,而国内贫困人口国家也一直有扶贫，但也要帮助他们生产，让他们参与国内生产和消费的循环。",江苏,41,5,215996291,248856626161
小身材大污贼,保密,2024-12-09 18:02:10 北京时间,0,回复 @萌萌的坑美2003 :不管国内还是国外的扶贫，这些都不是一朝一夕之功。,江苏,41,5,215996291,248856984401
池田エライザ,男,2024-12-09 18:24:27 北京时间,0,回复 @龘靐齉齾爩麤灪 :因为之前的金融需要大量外部资金啊，掌控权我们又没有，所以说过于开放也不是特别好的事，容易被别人下棋,广东,41,6,66717712,249281442048
古墨流芳,男,2024-12-11 01:39:27 北京时间,0,你这个举例就片面了，人口跟消费的正相关程度是分行业的，你举例的食品行业就是正相关最高的一类，毕竟人的理论需求只有这么高，但是诸如服装之类的行业，理论上人是可以买几百套衣服不重样地穿，至于实际上怎么实现就另说了。,湖南,41,6,452127,249375821568
black仙女,保密,2024-12-16 13:22:48 北京时间,0,回复 @萌萌的坑美2003 :分了财产等他有钱了还是要拿回来的，援助他们还不是因为那里有资源，现在进去帮助他们发展一是可以搏得好感，二还可以提前抢占市场，三是内外扶贫又互不影响你会百度也可以去搜扶贫进展，四是等人自己发展起来了又凭什么卖你资源，现在又不能强买强卖,四川,41,3,46893500,249871883776
无者薛,男,2024-12-23 02:27:32 北京时间,0,"回复 @萌萌的坑美2003 :本来就是大风刮来的（宇宙风也是风），什么不是大自然的馈赠？[doge],物质都是混沌运动 混沌海里冒出来的，然后混沌潮汐平息变成了 一个个星球，宇宙里可是有几十级的 氢原子大风 能吹散星球的那种。,人类口中的大自然  便是 潮汐平息这部分的混沌（无处不在的混沌运动  上至天体形成  中间大气运动  下至马路地面裂纹，种种无序都能以混沌运动来描述。这些 都是 无边混沌运动的一部分）。,总有一天  混沌海将重新翻涌  于是混沌劫至 ，大自然大毁 秩序大毁 大道灭。[doge], ,人类总想着“前人的成就”，,人的成就对自然来说  要“消耗有序”程度的，,而人类所需的自然是由有序构成的， ,所以 人的成就≈ 大自然的缺陷。,成就=缺陷，成就的大小=缺陷的大小。,人大多都以最高成就为目标，一个人 出生大多会复制一倍 陷阱势能（参考电子学）。,随着人口中的  “成就目标总和”，  翻那么多倍的  对大自然的 序/势能陷阱。[doge]",湖北,41,5,13663231,250431843392
萌萌的坑美2003,保密,2024-12-23 03:16:50 北京时间,0,回复 @无者薛 :说人话，抖什么机灵呢。,湖南,41,3,3546657274726625,250434799024
86072934092_bili,男,2024-12-24 07:50:43 北京时间,0,回复 @clown388 :日韩它爹是美国。它俩用主权换来的经济。[妙啊],辽宁,41,6,402673709,250535264608
Bil-ly,保密,2024-12-09 01:50:36 北京时间,9,沪✌🏻中肯,四川,22,6,401096793,248790131777
好兄弟罐头,保密,2024-12-09 01:52:20 北京时间,10,你想要更好的罢了，要是有个妹子又漂亮又聪明还喜欢给你花钱你会不结婚？😅,湖北,22,5,2039247971,248790155857
love星星眼女王,男,2024-12-09 01:55:48 北京时间,4,回复 @打破做忘道 :放别人会打脸，但我说到做到，同样一脚踹开,上海,22,6,449492982,248790390193
love星星眼女王,男,2024-12-09 02:04:02 北京时间,1,回复 @Bil-ly :我觉得打一辈子光棍真没啥问题，自由自在，只不过我想既要还要，既要我爸的财产又要不结婚不负责,上海,22,6,449492982,248790889857
战荳爽,保密,2024-12-09 03:11:50 北京时间,3,沪✌🏻的基因理当流传千古，可不敢消极怠工,江苏,22,5,479295385,248794396705
love星星眼女王,男,2024-12-09 03:16:47 北京时间,1,回复 @战荳爽 :别人都觉得我高帅，虽然富不至于只是有点财产确实应该有个对象，但我没兴趣，我觉得单身一辈子真的好，而且我是真能把缘分踢开的。,上海,22,6,449492982,248794818993
乐培,男,2024-12-09 03:34:39 北京时间,1,回复 @love星星眼女王 :最潇洒的二次元[doge],浙江,22,6,300002720,249216711392
奶油小方内自生的,保密,2024-12-09 03:36:07 北京时间,0,回复 @love星星眼女王 :你爸妈真不会追着赶着让你生？,美国,22,5,1073208506,249216986864
哈慈多尴尬,保密,2024-12-09 03:39:19 北京时间,1,你不结婚并不妨碍你开枝散叶啊[doge_金箍],广东,22,5,411512687,248796275089
love星星眼女王,男,2024-12-09 03:46:57 北京时间,0,回复 @奶油小方内自生的 :这就是一个问题，看看能不能让我发挥出顶级辅助的拉扯，能的话我就能既要还要了,上海,22,6,449492982,248796757201
love星星眼女王,男,2024-12-09 03:48:10 北京时间,0,回复 @哈慈多尴尬 :我对开枝散叶没啥兴趣，我毕竟是人不是发情的路边,上海,22,6,449492982,248796714369
萌萌的坑美2003,保密,2024-12-09 03:49:50 北京时间,0,回复 @love星星眼女王 :那你倒挺符合你的身份[滑稽],湖南,22,3,3546657274726625,249217833392
反坦克体操运动员,保密,2024-12-09 03:50:56 北京时间,2,羡慕了，有的人一出生就含着金钥匙[捂脸],安徽,22,6,286770463,248797009553
萌萌的坑美2003,保密,2024-12-09 03:51:14 北京时间,1,回复 @love星星眼女王 :若我有你这样的背景，天下碌碌何足道哉啊[藏狐],湖南,22,3,3546657274726625,249217950512
有一说一我纯路人,保密,2024-12-09 03:58:22 北京时间,0,🤡,云南,22,5,1165995967,248797601873
love星星眼女王,男,2024-12-09 03:59:43 北京时间,0,回复 @乐培 :如果我想泡妞想结婚，那我家财产确实对我很有利，但我想单身一辈子，财产就是我爸要挟我结婚的筹码了,上海,22,6,449492982,248797347809
为道日損,保密,2024-12-09 04:46:06 北京时间,2,回复 @love星星眼女王 :说到底，中国生产业发展太快了，精神建设落下了，90后、00后的教育缺乏人文关怀,广东,22,6,356651904,249222330224
冰知树,男,2024-12-09 04:56:17 北京时间,0,你有姐妹吗？,宁夏,22,6,28099380,248801884529
love星星眼女王,男,2024-12-09 04:56:37 北京时间,0,回复 @冰知树 :独生子,上海,22,6,449492982,248801979937
荷包嗡嗡虫,保密,2024-12-09 05:08:54 北京时间,1,回复 @love星星眼女王 :因为你年纪还小吧，呵呵说这种大话,江苏,22,4,506305987,248802785793
love星星眼女王,男,2024-12-09 05:10:50 北京时间,0,回复 @荷包嗡嗡虫 :我就知道结婚是把自己送入地狱我才说得出这样的话的，咋滴啦,上海,22,6,449492982,248802915809
love星星眼女王,男,2024-12-09 05:13:12 北京时间,0,回复 @荷包嗡嗡虫 :结婚了我现在的安生日子就没了，就是因为我知道权衡利弊了才说得出这话，你们想过结了婚是什么后果吗？,上海,22,6,449492982,248803103857
Bil-ly,保密,2024-12-09 01:50:36 北京时间,9,沪✌🏻中肯,四川,22,6,401096793,248790131777
好兄弟罐头,保密,2024-12-09 01:52:20 北京时间,10,你想要更好的罢了，要是有个妹子又漂亮又聪明还喜欢给你花钱你会不结婚？😅,湖北,22,5,2039247971,248790155857
love星星眼女王,男,2024-12-09 01:55:48 北京时间,4,回复 @打破做忘道 :放别人会打脸，但我说到做到，同样一脚踹开,上海,22,6,449492982,248790390193
love星星眼女王,男,2024-12-09 02:04:02 北京时间,1,回复 @Bil-ly :我觉得打一辈子光棍真没啥问题，自由自在，只不过我想既要还要，既要我爸的财产又要不结婚不负责,上海,22,6,449492982,248790889857
战荳爽,保密,2024-12-09 03:11:50 北京时间,3,沪✌🏻的基因理当流传千古，可不敢消极怠工,江苏,22,5,479295385,248794396705
love星星眼女王,男,2024-12-09 03:16:47 北京时间,1,回复 @战荳爽 :别人都觉得我高帅，虽然富不至于只是有点财产确实应该有个对象，但我没兴趣，我觉得单身一辈子真的好，而且我是真能把缘分踢开的。,上海,22,6,449492982,248794818993
乐培,男,2024-12-09 03:34:39 北京时间,1,回复 @love星星眼女王 :最潇洒的二次元[doge],浙江,22,6,300002720,249216711392
奶油小方内自生的,保密,2024-12-09 03:36:07 北京时间,0,回复 @love星星眼女王 :你爸妈真不会追着赶着让你生？,美国,22,5,1073208506,249216986864
哈慈多尴尬,保密,2024-12-09 03:39:19 北京时间,1,你不结婚并不妨碍你开枝散叶啊[doge_金箍],广东,22,5,411512687,248796275089
love星星眼女王,男,2024-12-09 03:46:57 北京时间,0,回复 @奶油小方内自生的 :这就是一个问题，看看能不能让我发挥出顶级辅助的拉扯，能的话我就能既要还要了,上海,22,6,449492982,248796757201
love星星眼女王,男,2024-12-09 03:48:10 北京时间,0,回复 @哈慈多尴尬 :我对开枝散叶没啥兴趣，我毕竟是人不是发情的路边,上海,22,6,449492982,248796714369
萌萌的坑美2003,保密,2024-12-09 03:49:50 北京时间,0,回复 @love星星眼女王 :那你倒挺符合你的身份[滑稽],湖南,22,3,3546657274726625,249217833392
反坦克体操运动员,保密,2024-12-09 03:50:56 北京时间,2,羡慕了，有的人一出生就含着金钥匙[捂脸],安徽,22,6,286770463,248797009553
萌萌的坑美2003,保密,2024-12-09 03:51:14 北京时间,1,回复 @love星星眼女王 :若我有你这样的背景，天下碌碌何足道哉啊[藏狐],湖南,22,3,3546657274726625,249217950512
有一说一我纯路人,保密,2024-12-09 03:58:22 北京时间,0,🤡,云南,22,5,1165995967,248797601873
love星星眼女王,男,2024-12-09 03:59:43 北京时间,0,回复 @乐培 :如果我想泡妞想结婚，那我家财产确实对我很有利，但我想单身一辈子，财产就是我爸要挟我结婚的筹码了,上海,22,6,449492982,248797347809
为道日損,保密,2024-12-09 04:46:06 北京时间,2,回复 @love星星眼女王 :说到底，中国生产业发展太快了，精神建设落下了，90后、00后的教育缺乏人文关怀,广东,22,6,356651904,249222330224
冰知树,男,2024-12-09 04:56:17 北京时间,0,你有姐妹吗？,宁夏,22,6,28099380,248801884529
love星星眼女王,男,2024-12-09 04:56:37 北京时间,0,回复 @冰知树 :独生子,上海,22,6,449492982,248801979937
荷包嗡嗡虫,保密,2024-12-09 05:08:54 北京时间,1,回复 @love星星眼女王 :因为你年纪还小吧，呵呵说这种大话,江苏,22,4,506305987,248802785793
love星星眼女王,男,2024-12-09 05:10:50 北京时间,0,回复 @荷包嗡嗡虫 :我就知道结婚是把自己送入地狱我才说得出这样的话的，咋滴啦,上海,22,6,449492982,248802915809
love星星眼女王,男,2024-12-09 05:13:12 北京时间,0,回复 @荷包嗡嗡虫 :结婚了我现在的安生日子就没了，就是因为我知道权衡利弊了才说得出这话，你们想过结了婚是什么后果吗？,上海,22,6,449492982,248803103857
橡木猫,男,2024-12-23 05:47:59 北京时间,0,2030年出生估计是最好的，只要不打仗,广东,1,6,32657537,250446351440
橡木猫,男,2024-12-23 05:47:59 北京时间,0,2030年出生估计是最好的，只要不打仗,广东,1,6,32657537,250446351440
cgheidch,保密,2024-12-08 09:09:09 北京时间,4,5亿人以下才算正常,上海,12,5,15547196,248738076417
Robot-Epsilon,男,2024-12-08 09:31:55 北京时间,0,回复 @cgheidch :五亿左右吧，我个人觉得7亿比较适合，维持一定量的人口也有利于竞争,德国,12,6,3276294,248739999601
cgheidch,保密,2024-12-08 09:33:55 北京时间,4,回复 @Robot-Epsilon : AI时代人口太多可不是好事，在第四次工业革命就不存在什么人口红利的事，低端制造业被AI技术取代，看看隔壁印度，到时候铁定内乱,上海,12,5,15547196,248740204993
_ナギ,男,2024-12-08 09:44:26 北京时间,21,没有春运才正常,湖北,12,6,10957324,249159860640
阿莱夫1990,保密,2024-12-08 09:46:04 北京时间,2,其实跟美国差不多3亿就可以了,山东,12,5,439940802,249160007808
C-J-C,男,2024-12-08 09:53:31 北京时间,0,回复 @_ナギ :每个人都能在家附近发展，这条件太理想了,河北,12,5,384040557,248741796177
卡神也是神,男,2024-12-08 11:09:17 北京时间,26,春运的底层逻辑是什么？是不平衡的城乡发展，所以哪天要是发展到人口这么少了，那么春运也自然没有了,上海,12,6,285453012,249167181328
傍晚烛光,男,2024-12-08 11:42:39 北京时间,0,回复 @Robot-Epsilon : 五亿人的时候，铁路局还能有那么大的雇员数量吗？不可能的,浙江,12,6,8755368,248750949521
三叶半夏i,男,2024-12-08 12:30:04 北京时间,6,主要是人口集中造成的，其实你看到的大城市，周边根本没啥人。主要是太集中了。所以造成了一种假象，让大家以为人很多。,江苏,12,5,1319650235,249174200688
Robot-Epsilon,男,2024-12-08 14:02:14 北京时间,0,回复 @cgheidch :这个确实，具体多少人口比较好，得要详细论证，不过现在确实太多了[笑哭][笑哭]很多人人生基本上是闭塞的无意义的,德国,12,6,3276294,248762667649
_天上星亮晶晶,男,2024-12-09 04:37:09 北京时间,1,回复 @傍晚烛光 :本质是我国的假期远远低于国际平均水平，一年到头就那几天假，人不扎堆才怪，啥时候落实八小时工作制周末双休了自然就缓解了,陕西,12,5,485887708,249221532784
琴篁233,男,2024-12-09 10:48:52 北京时间,1,外出务工人口太多了。,河北,12,5,353597105,249247453184
cgheidch,保密,2024-12-08 09:09:09 北京时间,4,5亿人以下才算正常,上海,12,5,15547196,248738076417
Robot-Epsilon,男,2024-12-08 09:31:55 北京时间,0,回复 @cgheidch :五亿左右吧，我个人觉得7亿比较适合，维持一定量的人口也有利于竞争,德国,12,6,3276294,248739999601
cgheidch,保密,2024-12-08 09:33:55 北京时间,4,回复 @Robot-Epsilon : AI时代人口太多可不是好事，在第四次工业革命就不存在什么人口红利的事，低端制造业被AI技术取代，看看隔壁印度，到时候铁定内乱,上海,12,5,15547196,248740204993
_ナギ,男,2024-12-08 09:44:26 北京时间,21,没有春运才正常,湖北,12,6,10957324,249159860640
阿莱夫1990,保密,2024-12-08 09:46:04 北京时间,2,其实跟美国差不多3亿就可以了,山东,12,5,439940802,249160007808
C-J-C,男,2024-12-08 09:53:31 北京时间,0,回复 @_ナギ :每个人都能在家附近发展，这条件太理想了,河北,12,5,384040557,248741796177
卡神也是神,男,2024-12-08 11:09:17 北京时间,26,春运的底层逻辑是什么？是不平衡的城乡发展，所以哪天要是发展到人口这么少了，那么春运也自然没有了,上海,12,6,285453012,249167181328
傍晚烛光,男,2024-12-08 11:42:39 北京时间,0,回复 @Robot-Epsilon : 五亿人的时候，铁路局还能有那么大的雇员数量吗？不可能的,浙江,12,6,8755368,248750949521
三叶半夏i,男,2024-12-08 12:30:04 北京时间,6,主要是人口集中造成的，其实你看到的大城市，周边根本没啥人。主要是太集中了。所以造成了一种假象，让大家以为人很多。,江苏,12,5,1319650235,249174200688
Robot-Epsilon,男,2024-12-08 14:02:14 北京时间,0,回复 @cgheidch :这个确实，具体多少人口比较好，得要详细论证，不过现在确实太多了[笑哭][笑哭]很多人人生基本上是闭塞的无意义的,德国,12,6,3276294,248762667649
_天上星亮晶晶,男,2024-12-09 04:37:09 北京时间,1,回复 @傍晚烛光 :本质是我国的假期远远低于国际平均水平，一年到头就那几天假，人不扎堆才怪，啥时候落实八小时工作制周末双休了自然就缓解了,陕西,12,5,485887708,249221532784
琴篁233,男,2024-12-09 10:48:52 北京时间,1,外出务工人口太多了。,河北,12,5,353597105,249247453184
Oldwarlock,保密,2024-12-08 06:22:25 北京时间,1,黑人？,辽宁,4,3,2079641306,249144136912
白发__,保密,2024-12-08 06:30:01 北京时间,2,问题是有人愿意来嘛[doge_金箍],浙江,4,5,1018118984,248726469905
clown388,保密,2024-12-08 09:36:48 北京时间,0,回复 @白发__ :只要是发展比我们差的国家，肯定有人来啊，我们现在外国人移民少，那是因为现在想移民中国政策比较严,广东,4,4,416156483,248740483073
白发__,保密,2024-12-08 09:47:57 北京时间,2,回复 @clown388 :除了比较原始的地方，其他地方谁愿意来?越南都有工会保障工人权益[doge_金箍],浙江,4,5,1018118984,248741344897
Oldwarlock,保密,2024-12-08 06:22:25 北京时间,1,黑人？,辽宁,4,3,2079641306,249144136912
白发__,保密,2024-12-08 06:30:01 北京时间,2,问题是有人愿意来嘛[doge_金箍],浙江,4,5,1018118984,248726469905
clown388,保密,2024-12-08 09:36:48 北京时间,0,回复 @白发__ :只要是发展比我们差的国家，肯定有人来啊，我们现在外国人移民少，那是因为现在想移民中国政策比较严,广东,4,4,416156483,248740483073
白发__,保密,2024-12-08 09:47:57 北京时间,2,回复 @clown388 :除了比较原始的地方，其他地方谁愿意来?越南都有工会保障工人权益[doge_金箍],浙江,4,5,1018118984,248741344897
l0979365428,保密,2024-12-08 03:38:58 北京时间,2,二锅头：？？？？,北京,5,5,10676302,249130514688
蓬松毛,男,2024-12-08 05:05:12 北京时间,38,[嗑瓜子]UP并没有考虑到经济下降到速度远远大于人口下降速度,浙江,5,6,178794588,248720163761
自信仓鼠,保密,2024-12-08 06:56:56 北京时间,8,没想到，不生的人造成的社会破坏性,湖北,5,6,23840648,249146762512
尼古拉斯拜诺恩,保密,2024-12-08 13:15:54 北京时间,5,回复 @蓬松毛 : 招笑，就凭你一张嘴？,上海,5,6,321817338,249178138992
躺平有群来聊天吧,保密,2024-12-08 13:26:00 北京时间,4,既然有人开头了，我说下上月就看到有个up讲这个话题了，我怀疑copy,浙江,5,3,3546607024867569,248759647057
l0979365428,保密,2024-12-08 03:38:58 北京时间,2,二锅头：？？？？,北京,5,5,10676302,249130514688
蓬松毛,男,2024-12-08 05:05:12 北京时间,38,[嗑瓜子]UP并没有考虑到经济下降到速度远远大于人口下降速度,浙江,5,6,178794588,248720163761
自信仓鼠,保密,2024-12-08 06:56:56 北京时间,8,没想到，不生的人造成的社会破坏性,湖北,5,6,23840648,249146762512
尼古拉斯拜诺恩,保密,2024-12-08 13:15:54 北京时间,5,回复 @蓬松毛 : 招笑，就凭你一张嘴？,上海,5,6,321817338,249178138992
躺平有群来聊天吧,保密,2024-12-08 13:26:00 北京时间,4,既然有人开头了，我说下上月就看到有个up讲这个话题了，我怀疑copy,浙江,5,3,3546607024867569,248759647057
叫我大泽吖,男,2024-12-08 09:09:58 北京时间,47,是你没有理解，up已经直言未来一段时间的问题是就业问题而不是人口问题，现在把资源和人力拿去补贴生育，就业和生育都会崩塌，未来十年内，主要精力都是应对产业升级和解决就业上面的。,河南,29,6,80211647,249156901024
浔湖畔,保密,2024-12-08 09:43:35 北京时间,36,回复 @叫我大泽吖 :发达国家把中国用完就扔，中国把劳动力用完也扔掉[doge_金箍]翻译一下就差不多了,山东,29,5,237031432,249159783312
Mshura,保密,2024-12-08 10:10:26 北京时间,16,回复 @叫我大泽吖 : 新生儿不上去，负增长，等于把妇产科，幼儿园，老师的饭碗砸了，还有游乐园，教辅相关，得失业多少，甚至学校门口卖炸串的都受影响，咋解决就业,重庆,29,5,343230378,248743322257
循环倒计时,保密,2024-12-08 10:29:06 北京时间,22,回复 @叫我大泽吖 : 没有足够人口是没有未来的。你和UP都不理解。我们和印度敢拿最大的市场和跨国企业谈判，巴基斯坦敢吗？我们可以靠14亿人口的市场养出媲美美国全球市场喂出来的巨头企业。如果没有这些人口，你开发出的产品一被制裁你连迭代都做不到，更不要说全产业链需要的人口是10亿人口规模起步。,宁夏,29,6,2072884,248744779265
傍晚烛光,男,2024-12-08 11:44:15 北京时间,2,回复 @浔湖畔 : 真的是多快好省,浙江,29,6,8755368,248751035361
有缘好梦,保密,2024-12-08 12:06:51 北京时间,0,回复 @浔湖畔 :师爷，翻译的好哇,湖北,29,5,507137937,249172134656
猎人1987,保密,2024-12-08 13:06:54 北京时间,1,回复 @叫我大泽吖 : 这不就是经典的本末倒置么,黑龙江,29,6,11557620,249177404352
天天的小爸爸,男,2024-12-08 13:54:31 北京时间,1,回复 @循环倒计时 :喂出来那些巨头，都是做啥的？,陕西,29,6,353762862,249181429584
循环倒计时,保密,2024-12-08 14:13:42 北京时间,3,回复 @天天的小爸爸 :世界五百强里和美国差不多的数量的中国企业你看不见？,宁夏,29,6,2072884,248763519393
六窍通明的冷冲,男,2024-12-08 14:45:49 北京时间,10,回复 @叫我大泽吖 : 产业升级也需要人才，而人才实际上也需要足够大的人口基数，皮之不存毛将焉附？,江苏,29,6,381746160,248766496081
卖萌土土土,保密,2024-12-08 16:47:45 北京时间,0,回复 @叫我大泽吖 :解决了就业了吗？？？产业升级本质是和就业率相悖的。,福建,29,5,403559321,249196165216
碧水月空明,保密,2024-12-08 17:07:05 北京时间,1,回复 @Mshura :以前60人一个班，人少了那就40一个班，再少就30一个班，经济发展了教育水平跟着提，为什么就会没活呢？以前物理老师教5个班，现在或许就只需要教4个班，以后就教3个班，让他们更多功夫研究教学，提升教学质量，这会没活吗？,广东,29,5,254562210,249197233600
贾德秀,保密,2024-12-08 17:14:17 北京时间,2,回复 @Mshura :没有投资到子女身上的钱不会凭空消失，会花在其他方面促进其他产业的发展。事实上近30年的高速发展，很大程度上得益于独生子女政策，在年龄结构上形成了近似纺锤形，中间的劳动人口占比奇高。,广东,29,5,351819850,248777465665
