昵称,性别,时间,点赞,评论,IP属地,二级评论条数,等级,uid,rpid
忽而今夏HEJX,保密,2024-04-19 23:01:13 北京时间,54,网上现在看见很多嫌弃爸妈给1500-2000一个月活不下去的帖子，问就是要买化妆品要买衣服要抽烟要找女朋友，评论就是一堆确实不够花穷就别生了。看多了就确实我穷我不生了，不然十几年后还要被自己的亲儿女挂在网上给人骂,江苏,18,5,21881193,217660409568
花椋,保密,2024-04-20 04:38:25 北京时间,27,大学毕业之后工作两年了，一个月到手能不能有三千还得看领导心情，去年年底遇初中同学，他在职高玩了两年就去了部队后勤，一个月能拿八九千，，，我就问我爸说，“你说我要是初中毕业就进厂打工，多下点力气，现在也能开个五千块钱了吧？”回头想想这将近十年，满眼尽是惆怅,山东,6,6,11183275,217694530944
求取关,女,2024-04-18 01:39:46 北京时间,27,花个几十上百万从幼儿园到研究生毕业出来肯定能年入百万吧[呲牙][呲牙],四川,4,6,216859699,217377841808
色者刮骨钢刀也,保密,2024-04-18 05:46:52 北京时间,26,很多传统观念都行不通了，别说什么传宗接代了，古代多少人追求长生，现在呢[doge],山东,3,4,3493127308446568,217408293584
拿锅碗同学,保密,2024-05-24 18:40:40 北京时间,25,从小就有一种预感，我大概此生不会结婚。,广东,0,3,3546606764821016,223036367712
宇宙尽头的尘埃,保密,2024-04-18 04:59:09 北京时间,25,收入只够自己一个人生活，生出来怎么养？,四川,1,6,84504821,217402296240
Sylphietto,保密,2024-04-18 01:12:17 北京时间,25,人口生产的主力军一直都是农村，几年前这里城市就已经压倒农村了,吉林,7,5,343914856,217375101392
梅花笑人偏弄影,保密,2024-06-16 06:01:32 北京时间,29,其实就是普通人工资太低，生活压力太大。要知道韩国虽然生育率倒数第一，人家的人均gdp和平均工资还是比我们高的……人家的困境主要在于财阀垄断，普通人不考入名校就没有好工作这种折磨，而且人口体量小，就业岗位供给还是够的，他们人工费也挺高，日韩做零工都不至于饿死。但是在中国人口远大于就业市场需求，多少名校毕业专业没选好的都找不到好工作,浙江,0,6,11572448,226601597056
栀子老公,男,2024-06-12 09:19:26 北京时间,24,相信后人智慧，啥?没后人咋办，你这个小同志，后人就像海绵，挤挤总是有的嘛[大笑],河南,0,6,477400343,225959526192
狗头贤者,男,2024-04-18 03:47:28 北京时间,24,你不生有的是人生，自信点14亿人不缺我一个废物的[doge],湖北,5,6,3676403,217391839744
冰空の风雪,男,2024-04-20 03:44:42 北京时间,24,不说房。车。rm13贬值成这样。生活。柴米油盐。央行多印了五倍多真的没点问题？一个人都养不起一个人的时候哪来的能力生孩子结婚。5000块的价值还不如3000。工资没涨。水电煤气物业生活成本都已经起飞了。,广东,9,6,43479124,217686896752
WSDEDFS,保密,2024-04-21 08:12:56 北京时间,82,新的思维模式的出现，会导致持旧观念的人的原先认知被颠覆一时间接受不了。就像很多新事物刚开始出现会遭到抵制，但是被取代已是必然，反反复复的争辩、不忿只是在为情绪找个宣泄口罢了。评论区分析的都有道理，年轻人不会像老一辈可以生五六个孩子，这已经是不争的事实。,广东,2,5,345227458,217881370064
幻视幻影,保密,2024-04-18 03:53:46 北京时间,23,人心齐～泰山移！[doge],黑龙江,0,6,59564034,217392598448
阿奎罗天空,男,2024-05-21 15:53:47 北京时间,22,"未来中国的出生率可能会是全球最低,1,目前的房地产政策实际就是把大部分人赶到高楼里,而高楼的出生率天然就会比低密度住宅低.,2,中国的年轻人口性别比失衡是全球最严重的.,这两个条件是独属于中国的不利条件,其他国家在高速发展期随着经济发展出生率是缓降,中国是坐火箭.",广东,1,6,28263970,222567421248
苏纳德鲁,保密,2024-04-21 03:51:36 北京时间,25,愿意生不开放，不愿意了又支持 孩子你真无敌了😂,河南,2,5,633390473,217844941824
玄～月,保密,2024-04-22 18:03:26 北京时间,21,明明说的就是几千年来被研究透的东西，为什么这么多弹幕好像这辈子没听说过一样？上学学的东西都装到肚子里了吗？古代和现代的差距本来就很大，那现在的价值观去评价过去的价值观多么不可能的儿豁，历史学的都是刷题是把。,北京,5,6,30992820,218104818464
兔子暴打白头鹰,男,2024-05-27 15:58:10 北京时间,35,根据90年代育龄妇女人数变化，在生育率保持不变的条件下，未来五年湖北每年出生人口将下降3.68%，湖南每年出生人口将下降3.24%，河南每年出生人口将下降3.24%，陕西每年出生人口将下降3.19%，广西每年出生人口将下降2.35%，海南每年出生人口将下降2.3%，甘肃每年出生人口将下降2.1%，除此以外广东四川重庆贵州云南的出生人口也会出现一定程度的下降。,河北,0,6,344196015,223504361600
七八九人,男,2024-06-11 09:44:28 北京时间,17,我妈给我的解释是怕以后他们走了我没亲人,四川,2,6,460516,225804663440
喜欢音乐的张童鞋,保密,2024-05-31 20:44:58 北京时间,17,这个时代就不适合生孩子（有钱人不算），我目前靠自己真的短时间买不上房子。太难，一个月就算一万元，不吃不喝一年12万元，我们老家40万一套平均，要想全款买房子，还要不失业，人民币不贬值的前提。以我自己的状态，起码要7-8年。房子都没有还结婚，我还不如自己好好活着算了，一辈子开开心心挺好。[辣眼睛],上海,0,4,491497323,224119549456
那分明是眼泪,保密,2024-04-18 11:53:44 北京时间,20,不是现在生的少，是以前生的多了，我父母那一辈很多都是兄弟姐妹6.7个，多的上十个，我妈跟她大姐相差20岁,湖北,1,5,54200083,217452864944
keyxin,保密,2024-06-13 05:14:25 北京时间,15,计划生育是我国的基本国策，这是初中政治就教的,广东,0,5,54228513,226089901984
打来面卡,女,2024-06-08 11:43:00 北京时间,15,做了二十年女儿了，养孩能不能养老我不知道吗[歪嘴][响指],福建,0,5,338839828,225324853648
水喝完瓶子能给我吗,保密,2024-04-18 05:45:08 北京时间,29,我家制衣厂工资都降了一千多那群普工还不是老老实实给我家干活一点都不敢闹[吃瓜],山东,11,5,14336441,217408130464
屏王,保密,2024-04-18 02:49:27 北京时间,14,穷人生孩子给富人打工吗？,广东,3,4,11960463,217384783184
Herr淵,男,2024-04-18 06:03:23 北京时间,89,我感觉不生孩子的都在评论区了，反正我的现实生活就是周围都结婚生子。有些朋友怀不上还特别着急到处求医问药，因为工作太忙直接辞职生娃。,湖南,48,6,455911,217409993456
阿梨只是睡啦,保密,2024-04-18 05:44:59 北京时间,16,"跟大家讲个乐子，跟生孩子真的没有一点关系[脱单doge],我从小父母离异，没钱没房没车，也没有人关爱，从小被忽视欺负，从高中内卷到硕士，身心俱疲，我总感觉这世界有好多对不起我的地方。,然后我那个养尊处优的前男友，出行坐爸爸宝马，住在豪华小区的大house ，他就会用李嘉琦的语气讲：“哪里难了？这么多年你过的不好是不是你自己的原因？”“你怎么这么悲观，怎么全世界就对不起你一个人呢”[脱单doge],用优雅的文言文翻译就是：“何不食肉糜？”,用法国断头王后的话说就是：“他们吃不起面包为什么不吃蛋糕呢？”,然后我真的一点不想生孩子了[脱单doge]",湖北,1,5,410779892,217408052592
JF综合频道,保密,2024-05-24 13:13:24 北京时间,13,我觉得这是好事啊，就算人口减半还有6～7亿人呢？美国和我们差不多面积人口才3亿多为什么能做一超多强？所以人口多少从来就不是国家强大的原因，因此大家该吃吃该喝喝[打call],广东,2,5,1873451880,222991144064
我猫叫灰灰,女,2024-05-12 12:37:18 北京时间,13,不生孩子也是负责任的表现。让爱生的、有钱养又有意识学习育儿知识的，去生。不爱生的、没钱养的、不愿意科学对待育儿的就别生了真的。,英国,6,4,3493126222121036,221127957248
cUc_don,保密,2024-04-24 05:00:52 北京时间,13,啊？还这么多？？？？？？？？？？？？天理难容！地理也不容易,云南,4,6,96288935,218294358912
迎-轻风,女,2024-04-21 12:25:42 北京时间,13,"我表哥是山东户口，他这辈子最想转到别的省份。,他不希望自己的孩子面对残酷的中高考竞争",福建,6,5,441762246,217917546912
御坂11337号,保密,2024-04-19 03:58:25 北京时间,87,评论区居然有人提养老？那就聊聊分配了[doge],福建,3,6,534488,217538970688
钙奶夫妇,保密,2024-04-18 04:30:19 北京时间,15,都说不生，然后结婚后30岁一胎，40岁二胎。生育其实是时间延后了而不是真不生[捂脸]别的不说，看看学校的40左右的老师，都在备孕二胎[藏狐],山东,16,5,547996410,217398004992
宇宙最好运,保密,2024-06-07 10:19:08 北京时间,12,每个月能给父母多少钱，父母生病了攒了多少钱。这点钱我都紧巴巴的我还生孩子 我脑子没疮,吉林,0,6,87134321,225142695072
阿里郎跟道拉吉,保密,2024-05-16 04:05:44 北京时间,12,那一句“我们是最后一代”到现在都印象极为深刻。,湖南,0,4,11426651,221680062512
四处找吃的,保密,2024-04-23 12:54:23 北京时间,12,我很好奇的一点是，不谈这毫无疑问的主观意愿。会不会真的有外人在使劲，比如大力发布各种男女对立，生活压力之类的东西，耐心而巧妙的引导向一个结果。这些虽然真实的东西，会不会有人推了一大把，像太极一样借力再助力，真得就变成了破阵破城破局的冲角。去那边的二狗子里，毕竟有不少是真有智力的。我的意思是，如果有，如果是，那真是令人欣赏的操作呢~,安徽,5,5,144599922,218208647088
账号已注销,保密,2024-04-18 13:27:37 北京时间,12,底层减少只是被动适应环境，有钱大部分还是会生。,四川,2,0,3494360731618101,217466914896
别吃gg下的蛋,保密,2024-04-18 05:46:11 北京时间,12,主要是成本有问题，现在成本太高,江苏,1,5,268616619,217408261120
爱探险的德莉莎,保密,2024-04-18 06:23:02 北京时间,48,其实还好 养小孩真的很难吗[抠鼻] 农村上学又不花钱 一年也就一两千的书本费  吃饭回家吃也不怎么花钱 不补课 要么自己教 要么就不管不问让他喜欢什么学什么 学个技术啥的不比漫无目的的学习好啊 所以养小孩最贵的时候就是奶粉钱➕前期在医院花的钱  现在难的是 找对象 找个志同道合的对象太难了,江苏,177,5,254140813,217412137872
千枫墨染,保密,2024-05-25 12:31:29 北京时间,31,有些人是真能嘴硬，还在拿“国外高福利生育率低怎么说”来扯淡，但凡b站搜几个近5年各国生育率排名视频看看，你都不会还拿着20年前的观念看问题。生育率都不如隔壁樱花了，还以为国外高福利生育率低呢😅有没有一种可能，它们现在比我们高,山东,0,6,44971467,223153207136
玲冰幻绫梦,男,2024-04-19 01:26:08 北京时间,18,有趣，拿现在的情况推算满清时代。知道彩礼古代是只有大户人家才给的起的么。一般小农家庭都是意思一下。有的很穷苦的甚至要倒搭彩礼才能把女儿嫁出去做小或是卖了做丫鬟，算是给女儿一个活路，还指望着给你彩礼真是异想天开。,四川,2,6,23605278,217521969232
风雷振九州,保密,2024-04-19 14:25:10 北京时间,16,归根结底是独生子女政策造成养孩子成本被推的太高了，所以年轻人都怕了,辽宁,12,5,349136098,217623714128
金币先生们,保密,2024-06-16 23:03:38 北京时间,11,在非贫困国家城市，生育率在一定范围内反映居民幸福度，由空闲时间和金钱决定，有时间才有办法谈恋爱结婚照顾家庭，调节夫妻及家庭关系，有钱才能维持家庭关系的稳定，不解决这2个根本因素，生育率就很难提升。,福建,0,4,630547220,226715949376
梅花笑人偏弄影,保密,2024-06-16 05:49:13 北京时间,11,某种程度上也羡慕现在的20后，到他们那时候高考竞争压力小了很多，但是也不知道经济变成什么样了。,浙江,1,6,11572448,226599674256
振子没有脑袋,女,2024-06-12 04:38:28 北京时间,10,爸妈那一代都是这类想法，导致现在这一代大部分从小留守儿童长大的，思想更迭了，自然也不想让自己生出来的孩子再重蹈覆辙，只能说思想不是一个层次，确实没啥可聊的，你想找志同道合的对象估计挺难找[喜极而泣],贵州,0,6,31559132,225924314656
冥璃七月,保密,2024-06-05 16:23:42 北京时间,10,知道吗？新一轮的大学毕业生有一半多的人找不到工作，就这样生孩子？,四川,0,4,200219725,224883240736
设计XXMAN,保密,2024-04-18 03:12:28 北京时间,10,不是问题，日本几十年了，不照样很好。,河北,4,5,40209582,217387769488
高端大气半颗葱,保密,2024-04-18 02:33:51 北京时间,10,物竞天择，适者生存。,江苏,2,5,651055069,217383248224
TMD流逝吖,保密,2024-05-31 15:12:41 北京时间,12,"鼓掌👏大家终于都看开了。,也想明白了。,听说我们这现在妇产科医生都不是熟手。[微笑],不知道其他城市会不会也一样。",湖南,2,4,1761458907,224091531424
白漂多不合适,男,2024-04-20 00:50:05 北京时间,12,是啊，老母亲催婚的时候，最大的理由就是娶了老婆生了孩子，才能老有所依，但她说这话的时候我是真想说，我都没能力也不想养你，我难道还能指望孩子给我养老？,重庆,2,5,486667888,217667269472
鸢霏猷,男,2024-06-04 03:30:08 北京时间,9,我只关心我的退休金能不能拿到,广东,0,4,108084395,224622793248
躺石头上睡觉,保密,2024-06-01 19:14:26 北京时间,9,没解决自己生活问题还是算了吧，家里老人什么时候生个病都顶不住更不要谈结婚和生孩子了。,广东,1,6,108007368,224281304704
一颗哒橙橙,保密,2024-06-01 12:41:10 北京时间,9,工资一直都没涨多少啊？绝大行业两倍都没，水果很多翻了十倍，我这边幼儿园学费一年四万还算普的了，生了孩子根本入不敷出，像背了座大山。,广东,0,4,375342860,224230393344
果酱白鱀不是白框,男,2024-05-28 18:35:39 北京时间,9,"只要95以后的人持续奔三，那更好看。,我相信这个时代能烂掉，成为后人的教训，以我们自己为代价也可以",湖北,0,6,1931548,223667598784
卖身葬自己,男,2024-05-10 00:57:28 北京时间,9,我就说个最简单的，我自己都养不活了，拿什么养孩子？没买房子之前我感觉还好，买了房以后真的压得我喘不过气本来工资也不低，够我自己开销的，但是要还房贷各种，就剩不了多少钱自己用了,云南,0,6,27387085,220704555584
原-阿基米德,男,2024-05-08 10:04:13 北京时间,9,生育在生存面前那就是个弟弟，都在说生育是动物的本能之一，但生存也是，而且优先级明显要比生育高，在环境恶劣时，动物的生殖率会明显下降，因为在冬天生孩子的话，有可能自己活不成，孩子也活不成，这是非常亏的。,河南,3,5,527733912,220469993216
我真服服啦这个居然有,保密,2024-04-23 03:38:39 北京时间,9,"简单来说，就是被资本主义忽悠成眼高手低，啥都要最好，啥都想要，,自己又没有那个本钱，消费主义一直在喊，,关键是，最没钱的人相信了自己就该享受最好的，,所以才导致了现在的情况，尤其是资本捧杀了女性，,让女性看不清自己，根本不会考虑和门当户对的人结婚,“人要向上走”，一局激励自己努力的话，变成努力贩卖自己，,也导致了离婚率和结婚成本的高昂，婚姻更是和房地产捆绑,关键是，这些全部是牺牲男性来达成的，,所以当男性发现，自己不结婚不生子，不买被捆绑的房车，反倒会轻松很多，,越努力越穷的怪相（跟不上婚姻的需求）出来之后，就不会再考虑结婚生子了,大家平常心就好，别被资本忽悠了，,我就打算在小城镇生活了，笑。",四川,1,6,180049394,218136726080
Rals_ei,男,2024-04-21 15:53:22 北京时间,9,目前情况是几十年后人口急剧减少，后来的新增人口竞争竞争对手减少生存环境更好了，但再往后生育成本越来越高，后出生的人生存难度越来越高（科技提升导致许多低门槛岗位开始大规模消失直到只剩下科技，政治，文化，娱乐这几类，普通打工人完全消失，高级打工人的暂时不会但会随着科技进步被ai完全代替），人口质量不断提升，不断减少各个阶级之间差距，人口逐渐减少直到循环到一个临界点，到最后以前小说里看到的社会共养体系搞不好以后还真的会弄一个差不多的，即家庭家族这个小团体消失，摆脱家庭家族的束缚，不再归属家庭家族这种小单位，而是以国家，甚至全人类这种为单位，出现批量生产的高质量人类，不断筛选，比家庭各方面都强，只是少了那一份家的温暖，更替的那一代估计会很难受（如果思想变化很大可能不会难受）。。。,四川,2,5,1888038180,217949366832
豆豆兵,保密,2024-04-19 16:03:22 北京时间,12,你这说的我不给个关注都不好意思了啊,上海,0,6,8058930,217638708688
雪梨X苹果,保密,2024-04-19 15:59:48 北京时间,9,以前养个小孩大部分人随随便便养就能跟上大部队了.现在.大部分人都得倾尽全力...,广东,0,6,3210508,217638415360
电子厂小枛,男,2024-04-19 15:03:05 北京时间,9,环境容纳量是针对自然环境而言，人类社会是一个超过自然环境的范围的，用k值来形容虽然不准确，但也是最好的能够以高中的思维水平来理解这件事情的解释了,湖北,3,6,443944485,217629599504
小布丁1335,保密,2024-04-19 01:08:52 北京时间,9,房价和生活成本的共同作用呗，小动物都知道，环境恶劣，资源缺乏就停止大量繁殖了。生个娃就要让自己的生活质量断崖式下跌的话，就缓缓再说呗。,浙江,1,4,3493113330928435,217520264368
鲁迅弟子,保密,2024-04-18 06:35:10 北京时间,11,没生孩子我是中产。生了孩子就是破产[doge],上海,1,5,1687215277,217413434928
歌唱祖国好好好,保密,2024-04-18 04:44:58 北京时间,9,你们会在服务器不好爆率低的全是工作室的服务器开新号吗[吃瓜],上海,1,5,294144571,217400211472
指尖弹奏世界,男,2024-06-02 15:27:57 北京时间,23,吃草就能活的牛马连草都吃不起了  还指望牛马生育？！,福建,0,5,470025894,224421436656
张小朋友略略略,保密,2024-04-18 03:42:13 北京时间,13,人口变少不代表经济不行，而是产业升级，对高级人才和创新性人才增加需求会变大，不再需要遍地廉价劳动力了,湖北,9,5,374761599,217391291216
硕根先生,保密,2024-04-20 10:36:45 北京时间,29,打开视频暂停，下拉评论区，最新排序，可惜没找到真实答案,日本,1,6,2921080,217740798016
阿富汉子,男,2024-04-19 12:55:49 北京时间,14,"问题的核心是：,1、看看现在 结婚有多难？有几个女人 看得上跟她同一水平的男性？,2、就算好彩 终于结婚了，离婚率多高？,3、以上两条才是两座大山， 否则 谈什么生育？",重庆,9,5,327732484,217609582784
樱落晨明,男,2024-06-07 10:44:35 北京时间,8,河南那么大的人口基数，才出生那么点人。感觉已经改变很大了。,河南,2,5,1353392703,225147005472
千年大老王,保密,2024-06-05 13:39:57 北京时间,8,我反思什么，车房彩礼怎么结婚？[跪了],河北,0,4,518724943,224856996928
专业试驾二手车,保密,2024-06-03 05:33:44 北京时间,8,坐着说了差不多十分钟，我用一句话总结：“生娃儿不赚钱”,四川,0,4,1414916126,224489160704
可恶的大头,保密,2024-05-10 04:19:28 北京时间,8,"似对非对，根子就没说对。,最麻烦的是，真实原因这里还没办法说，一说就禁。,up主说的是从纯利益角度出发，当今社会的劳动力再生成本过高，这点是对的,物质崇拜后的人自然就纯粹从钱来考虑问题了，物质崇拜后不考虑钱，不从利益出发，哪从哪出发，这是对的。,社会是为什么走向主流价值观物质崇拜的？但是最重要的为什么会从纯利益出发，这没说。,这个因并不是简单的城市化造成的。,这就像另外个经典话术，公平和效率是冲突的，这句话就是不谈前提。,在资本主义社会或者说物质崇拜的主流价值观下，公平和效率，确实是冲突的。",广东,0,4,388423390,220728273584
自傷無色_,男,2024-04-20 08:05:07 北京时间,8,现在是以前计划生育的成果期，出生率降低才刚开始呢；而提早宣传新的多生是应该是为了更远的以后人口能维持稳定区间[doge],湖北,0,6,34185954,217720051824
花满楼123,男,2024-04-19 18:31:48 北京时间,8,现在的社会结构，养孩并不能防老，有出息的去了大城市或者出国，这基本就别指望了他给你养老，你还要防着他买房给你要大钱。没出息的留在本地赚那可怜的3000块，你每个月还要资助他，如果你没有退休金，那就更可怜了！,山西,2,6,2496410,217652493216
谭欣然然然,保密,2024-04-19 16:20:43 北京时间,8,以前上课  老师一直在说人口过多  平均土地  人口密集什么什么的,广东,2,6,314135928,217641111216
阿熊在努力,男,2024-05-18 00:16:05 北京时间,10,主要是孩子毕业以后工作都找不到，生出来没有用,安徽,5,6,22663170,221960326048
园田将芜胡不归,男,2024-04-19 03:31:45 北京时间,10,临终时，看着自己用一生的辛劳换来的财富，欣慰地笑了：我离开之后，它将属于全世界人民。[脱单doge],广西,2,5,1065952844,217535629040
风雪汴梁桥,保密,2024-06-12 12:34:17 北京时间,7,"家庭思想的转变只是一方面，生育率下降，是因为中国社会发展到生育率下降的阶段了，当年计划生育没有影响?  经济和社会环境难道还能不发展吗？即使不婚不育比以前多了，但是看看自己周围生孩子的还是大多数，不婚不育群体的影响根本没有那么大，非得把生育率和年轻人是否婚育挂钩，好像年轻人全都生，生育率就再也不会下降一样，,网上各种把责任全推给年轻人的言语浪潮，真的很不负责，年轻人不背这个锅....[大哭][大哭][大哭]",山东,0,5,476745445,225990047280
冷脑热心,保密,2024-06-11 16:25:04 北京时间,7,我帮大家算个账，别人家生二胎，你单身，那么二十年内你单人的收入就能比别人家四个人的的人均收入翻一倍。[doge],广东,0,6,275378220,225869369200
假假条丷,保密,2024-05-26 14:15:43 北京时间,7,耶-----全四光就没人和新生代内卷了！！！,山东,0,3,1998947008,223337128624
圣桃桃香,保密,2024-05-21 11:34:40 北京时间,7,房价和彩礼是大头，事实上现在很多年轻人哪怕不工作，父母也养得起。,江苏,2,6,2568288,222526615040
骑摩托去透析,男,2024-05-13 23:39:45 北京时间,7,"我不生，有的是人生，,我这么穷，生出来跟我吃苦吗，",辽宁,1,6,1617410220,221344083568
-唯昕-,男,2024-05-10 01:48:23 北京时间,7,"当环境适宜的时候，生命会选择繁衍后代。当环境恶劣，不适宜生存的时候，生命会不得不倾向优先保全自己生存下去，而不再繁衍后代。,遵从天性是繁衍生息，但人类发展至此靠的不是天性，而是不断的适应环境的变化以及进化，靠的智力与能力的提升。",河南,2,6,5716351,220709662448
学问之美,保密,2024-05-04 07:19:16 北京时间,7,"其实吧，没那么复杂，主要原因是：1 大家生活变好了，以前除了生娃养娃这一件打发时间的正事，其它如棋牌麻将喜欢的人有限。2 信息交流极大方便。总结起来，就是除了养育下一代，还有太多的事可以做可以玩，花花世界迷人眼，与之相比，养育下一代消耗的脑力、体力、财力高于了刷手机、刷剧、打游戏。,设想一下：如果娱乐设施反过来，不是脑残化，而是需要高数90分以上的智商、接近体操运动员的敏捷和协调、长跑满分的体能要求，达不到者只能使用定制手机（类似功能机，无法自己安装app，能用微信qq支付宝，但三者中没有小程序，没有游戏）、只能如过去那样看电视（没有点播、没有会员，广告巨多）、不能安装电脑游戏，生育率立刻能从现在不到1回升到接近2。再叠加养娃奖励，例如生养两个娃可以进电影院，两个娃养育到成年可以解锁电脑游戏安装权限，生育三个娃并养育到成年可以解锁智能手机等等，人口再度飙升也不是不可能！,总结：人的时间、精力都是有限的，在最该成家立业和养育下一代的时候，被花花世界迷了心智夺取了过多的时间精力，自然就有大批想单身躺平的",湖北,0,5,592109599,219841460368
王公子爱吕姑娘,保密,2024-05-03 12:40:05 北京时间,7,当环境趋近于恶劣，物种便会停止繁衍。这是地球上所有生命体共有的生物学本能。,安徽,0,6,49298763,219724508912
唯你柠檬茶爽过那啥,男,2024-04-19 21:18:22 北京时间,7,城镇平均养育儿童支出为3w/年=3K/月，相当于三四线城市挣3.4K工资的普通人基本不用考虑生儿育女，如果你是这样的人，家庭经济一般的情况下，生儿育乐会导致你的可支配收入和家庭财富积累速度大幅下降，简单来说，不管短期还是长期来看，对生活水平的影响都是极大的,广西,16,5,22507283,217657611360
1hello1234567,保密,2024-04-19 11:15:29 北京时间,7,中国小农经济早在人民公社建立后就被消灭了，不是在改革开放后。,上海,2,3,25342739,217594547760
胡胖胖的故事,男,2024-04-19 01:58:40 北京时间,7,都说刚毕业到30岁是黄金年龄，是因为他们上不用养老，下可能也不用养小，一般不会有大病支出，他们唯一需要的就是努力赚钱买房、攒彩礼，但这个年龄又是老板压榨最狠的年纪，说句不好听的，能在30岁以后不因为亚健康影响工作就可以烧高香了。,广东,0,4,516916588,217525184384
深空探索Pro,保密,2024-04-18 03:31:41 北京时间,7,大学生出来没工作，咋整？辛辛苦苦求学十几年图的啥，不就是为劳动尊严，生出来干啥？,江苏,1,4,1925597050,217389970832
kkkk二游子,男,2024-04-18 04:38:48 北京时间,17,一点影响没有，等人口少到一定数量生态环境好了自然就解决了,云南,0,5,328272006,217399287936
随便叫SM吧,保密,2024-04-18 06:11:43 北京时间,9,什么叫底层拒绝生育，明显是中产拒绝生育，而且是喜欢享受生活的单身人士，真正的底层都是比较传统的，大都要生儿育女。,上海,4,5,368888361,217411135472
炼心-,保密,2024-06-08 14:47:39 北京时间,6,强人工智能出现。人类就真正末日了,安徽,0,6,102285758,225355716128
wolfseyes,保密,2024-06-07 04:08:33 北京时间,6,分析的很精辟！！部分年轻人醒悟了思想转换了，更多的是老年人还有些农村的受教育程度低的人思想保守！,山西,0,5,93811909,225092284880
急泥胎咩,保密,2024-05-14 09:07:46 北京时间,6,出生人口还有这么多啊，我觉得90后还是强[doge],重庆,1,6,389332932,221410716864
夜夜落长安,女,2024-05-03 21:23:32 北京时间,6,以现在的数据来看，8亿附近才是一个健康的人口数量。大多数国家发展都经历过人口膨胀-经济泡沫-高压内卷-生育率降低-老龄化这个过程，但是目前世界上还没出现一个非常漂亮的解决方案。,英国,1,6,1585520,219779617232
善战无前如燎原,男,2024-04-22 01:31:41 北京时间,6,其实工作不好找现在已经和人口多没关系了，因为它们把一个劳动力当七八个来使当然没有工作岗位，当然失业率高导致的必然条件肯定是人口下滑[OK],湖北,0,5,633821259,217981230384
凌奕清风,男,2024-04-21 02:12:45 北京时间,6,说白了，就是人太多了，人少你看工资加不加,广东,2,5,608964770,217831677952
芙卡洛斯-Justice,保密,2024-04-20 05:34:10 北京时间,6,养儿能不能防老，做儿子20年了我能不知道嘛[doge],广东,0,6,478107392,217702149760
特别喜欢一句话,保密,2024-04-19 11:04:49 北京时间,10,别瞎扯了，中国出生人口下降只会让人均资源上升，让人民生活水平增高。2024年第一季度中国GDP增长5.3％，经济持续高速增长。,上海,0,5,1319352065,217593048256
听风挽笑22,保密,2024-04-18 04:39:19 北京时间,6,人少了 人均GDP不就上来了吗[doge][doge],广东,0,6,56826964,217399396080
左基右腐,保密,2024-04-24 01:42:16 北京时间,8,看弹幕就很有意思，刚吃饱饭不足两代人，吃好饭也就一代人，很多人就开始和近代史做切割了，好像没有新中国他们也能锦衣玉食似的…我是山河四省的90后，刚记事那会记得是一日两餐，到小学才普及的一日三餐,河南,2,6,36991968,218270334272
bili_34833339857,男,2024-04-20 15:56:10 北京时间,7,T0太多了，孔老夫子还是可以用的[妙啊],江西,0,5,1254711574,217791390576
゚゚゚゚゚゙゚゚,男,2024-06-12 02:08:57 北京时间,5,你知我知天知地知,广东,0,6,247128167,225904392608
途云海,男,2024-06-11 10:08:55 北京时间,5,"上班:没时间谈,不上班:没钱谈",广东,0,6,182909052,225808150576
当韧,保密,2024-05-28 01:07:19 北京时间,5,有车的人很多，但是车位很少,湖南,0,6,92564628,223534966288
MK47-M1117,保密,2024-05-13 00:55:49 北京时间,5,归根结底的原因，是我们的物质基础依旧不够足够丰富，人口和就业的矛盾依旧尖锐，民众的生存压力依旧艰巨，现在谈什么成功还为时过早，革命尚未成功，诸君仍需努力。,江苏,1,5,369379068,221194266288
你的初吻对象不是jojo,保密,2024-05-12 17:12:46 北京时间,5,正是因为看清了自己，无法给父母带来幸福，也无法给下一代带来幸福，所以才决定不生。如果你是有一点良心的人，看着自己父母含辛茹苦养育自己，长大后却无法让父母享清福甚至要啃老，是否有那么一刻觉得自己不应该出生在这个世上？尽管你的出生并不是由你决定，父母也没有给到自己最优质的生活与教育，但自己是否又有那么一个深夜在想，自己是那么无力，明明已经倾尽全力却无法往阶梯上再迈进一步。经历过生活的苦，品尝过精神的痛，即便如此你也要生下一个孩子，让其跟你承受一样的痛苦吗？,广东,0,6,196301765,221171483008
熵减系统,保密,2024-05-10 11:14:26 北京时间,5,现在有网络了，一个人也能解决社交需求，再买个杯子解决生理需求，人类本能那一套也不好使了,浙江,1,5,432315646,220782771120
橙橙橙橙橙橙子呢,男,2024-05-03 08:32:50 北京时间,5,0氪玩家安份点屯屯资源自己用用就够了,浙江,0,6,110667032,219686584928
