情绪标签,时间,性别,评论
负面,2024-04-18 05:44:59 北京时间,保密,"跟大家讲个乐子，跟生孩子真的没有一点关系[脱单doge],我从小父母离异，没钱没房没车，也没有人关爱，从小被忽视欺负，从高中内卷到硕士，身心俱疲，我总感觉这世界有好多对不起我的地方。,然后我那个养尊处优的前男友，出行坐爸爸宝马，住在豪华小区的大house ，他就会用李嘉琦的语气讲：“哪里难了？这么多年你过的不好是不是你自己的原因？”“你怎么这么悲观，怎么全世界就对不起你一个人呢”[脱单doge],用优雅的文言文翻译就是：“何不食肉糜？”,用法国断头王后的话说就是：“他们吃不起面包为什么不吃蛋糕呢？”,然后我真的一点不想生孩子了[脱单doge]"
负面,2024-05-24 13:13:24 北京时间,保密,我觉得这是好事啊，就算人口减半还有6～7亿人呢？美国和我们差不多面积人口才3亿多为什么能做一超多强？所以人口多少从来就不是国家强大的原因，因此大家该吃吃该喝喝[打call]
正面,2024-05-12 12:37:18 北京时间,女,不生孩子也是负责任的表现。让爱生的、有钱养又有意识学习育儿知识的，去生。不爱生的、没钱养的、不愿意科学对待育儿的就别生了真的。
中立,2024-04-24 05:00:52 北京时间,保密,啊？还这么多？？？？？？？？？？？？天理难容！地理也不容易
中立,2024-04-21 12:25:42 北京时间,女,"我表哥是山东户口，他这辈子最想转到别的省份。,他不希望自己的孩子面对残酷的中高考竞争"
负面,2024-04-19 03:58:25 北京时间,保密,评论区居然有人提养老？那就聊聊分配了[doge]
负面,2024-04-18 04:30:19 北京时间,保密,都说不生，然后结婚后30岁一胎，40岁二胎。生育其实是时间延后了而不是真不生[捂脸]别的不说，看看学校的40左右的老师，都在备孕二胎[藏狐]
中立,2024-06-07 10:19:08 北京时间,保密,每个月能给父母多少钱，父母生病了攒了多少钱。这点钱我都紧巴巴的我还生孩子 我脑子没疮
负面,2024-05-16 04:05:44 北京时间,保密,那一句“我们是最后一代”到现在都印象极为深刻。
中立,2024-04-23 12:54:23 北京时间,保密,我很好奇的一点是，不谈这毫无疑问的主观意愿。会不会真的有外人在使劲，比如大力发布各种男女对立，生活压力之类的东西，耐心而巧妙的引导向一个结果。这些虽然真实的东西，会不会有人推了一大把，像太极一样借力再助力，真得就变成了破阵破城破局的冲角。去那边的二狗子里，毕竟有不少是真有智力的。我的意思是，如果有，如果是，那真是令人欣赏的操作呢~
中立,2024-04-18 13:27:37 北京时间,保密,底层减少只是被动适应环境，有钱大部分还是会生。
正面,2024-04-18 05:46:11 北京时间,保密,主要是成本有问题，现在成本太高
负面,2024-04-18 06:23:02 北京时间,保密,其实还好 养小孩真的很难吗[抠鼻] 农村上学又不花钱 一年也就一两千的书本费  吃饭回家吃也不怎么花钱 不补课 要么自己教 要么就不管不问让他喜欢什么学什么 学个技术啥的不比漫无目的的学习好啊 所以养小孩最贵的时候就是奶粉钱➕前期在医院花的钱  现在难的是 找对象 找个志同道合的对象太难了
中立,2024-05-25 12:31:29 北京时间,保密,有些人是真能嘴硬，还在拿“国外高福利生育率低怎么说”来扯淡，但凡b站搜几个近5年各国生育率排名视频看看，你都不会还拿着20年前的观念看问题。生育率都不如隔壁樱花了，还以为国外高福利生育率低呢😅有没有一种可能，它们现在比我们高
正面,2024-04-19 01:26:08 北京时间,男,有趣，拿现在的情况推算满清时代。知道彩礼古代是只有大户人家才给的起的么。一般小农家庭都是意思一下。有的很穷苦的甚至要倒搭彩礼才能把女儿嫁出去做小或是卖了做丫鬟，算是给女儿一个活路，还指望着给你彩礼真是异想天开。
负面,2024-04-19 14:25:10 北京时间,保密,归根结底是独生子女政策造成养孩子成本被推的太高了，所以年轻人都怕了
中立,2024-06-16 23:03:38 北京时间,保密,在非贫困国家城市，生育率在一定范围内反映居民幸福度，由空闲时间和金钱决定，有时间才有办法谈恋爱结婚照顾家庭，调节夫妻及家庭关系，有钱才能维持家庭关系的稳定，不解决这2个根本因素，生育率就很难提升。
中立,2024-06-16 05:49:13 北京时间,保密,某种程度上也羡慕现在的20后，到他们那时候高考竞争压力小了很多，但是也不知道经济变成什么样了。
负面,2024-06-12 04:38:28 北京时间,女,爸妈那一代都是这类想法，导致现在这一代大部分从小留守儿童长大的，思想更迭了，自然也不想让自己生出来的孩子再重蹈覆辙，只能说思想不是一个层次，确实没啥可聊的，你想找志同道合的对象估计挺难找[喜极而泣]
正面,2024-06-05 16:23:42 北京时间,保密,知道吗？新一轮的大学毕业生有一半多的人找不到工作，就这样生孩子？
正面,2024-04-18 03:12:28 北京时间,保密,不是问题，日本几十年了，不照样很好。
负面,2024-04-18 02:33:51 北京时间,保密,物竞天择，适者生存。
负面,2024-05-31 15:12:41 北京时间,保密,"鼓掌👏大家终于都看开了。,也想明白了。,听说我们这现在妇产科医生都不是熟手。[微笑],不知道其他城市会不会也一样。"
中立,2024-04-20 00:50:05 北京时间,男,是啊，老母亲催婚的时候，最大的理由就是娶了老婆生了孩子，才能老有所依，但她说这话的时候我是真想说，我都没能力也不想养你，我难道还能指望孩子给我养老？
负面,2024-06-04 03:30:08 北京时间,男,我只关心我的退休金能不能拿到
负面,2024-06-01 19:14:26 北京时间,保密,没解决自己生活问题还是算了吧，家里老人什么时候生个病都顶不住更不要谈结婚和生孩子了。
中立,2024-06-01 12:41:10 北京时间,保密,工资一直都没涨多少啊？绝大行业两倍都没，水果很多翻了十倍，我这边幼儿园学费一年四万还算普的了，生了孩子根本入不敷出，像背了座大山。
负面,2024-05-28 18:35:39 北京时间,男,"只要95以后的人持续奔三，那更好看。,我相信这个时代能烂掉，成为后人的教训，以我们自己为代价也可以"
正面,2024-05-10 00:57:28 北京时间,男,我就说个最简单的，我自己都养不活了，拿什么养孩子？没买房子之前我感觉还好，买了房以后真的压得我喘不过气本来工资也不低，够我自己开销的，但是要还房贷各种，就剩不了多少钱自己用了
正面,2024-05-08 10:04:13 北京时间,男,生育在生存面前那就是个弟弟，都在说生育是动物的本能之一，但生存也是，而且优先级明显要比生育高，在环境恶劣时，动物的生殖率会明显下降，因为在冬天生孩子的话，有可能自己活不成，孩子也活不成，这是非常亏的。
正面,2024-04-23 03:38:39 北京时间,保密,"简单来说，就是被资本主义忽悠成眼高手低，啥都要最好，啥都想要，,自己又没有那个本钱，消费主义一直在喊，,关键是，最没钱的人相信了自己就该享受最好的，,所以才导致了现在的情况，尤其是资本捧杀了女性，,让女性看不清自己，根本不会考虑和门当户对的人结婚,“人要向上走”，一局激励自己努力的话，变成努力贩卖自己，,也导致了离婚率和结婚成本的高昂，婚姻更是和房地产捆绑,关键是，这些全部是牺牲男性来达成的，,所以当男性发现，自己不结婚不生子，不买被捆绑的房车，反倒会轻松很多，,越努力越穷的怪相（跟不上婚姻的需求）出来之后，就不会再考虑结婚生子了,大家平常心就好，别被资本忽悠了，,我就打算在小城镇生活了，笑。"
正面,2024-04-21 15:53:22 北京时间,男,目前情况是几十年后人口急剧减少，后来的新增人口竞争竞争对手减少生存环境更好了，但再往后生育成本越来越高，后出生的人生存难度越来越高（科技提升导致许多低门槛岗位开始大规模消失直到只剩下科技，政治，文化，娱乐这几类，普通打工人完全消失，高级打工人的暂时不会但会随着科技进步被ai完全代替），人口质量不断提升，不断减少各个阶级之间差距，人口逐渐减少直到循环到一个临界点，到最后以前小说里看到的社会共养体系搞不好以后还真的会弄一个差不多的，即家庭家族这个小团体消失，摆脱家庭家族的束缚，不再归属家庭家族这种小单位，而是以国家，甚至全人类这种为单位，出现批量生产的高质量人类，不断筛选，比家庭各方面都强，只是少了那一份家的温暖，更替的那一代估计会很难受（如果思想变化很大可能不会难受）。。。
中立,2024-04-19 16:03:22 北京时间,保密,你这说的我不给个关注都不好意思了啊
负面,2024-04-19 15:59:48 北京时间,保密,以前养个小孩大部分人随随便便养就能跟上大部队了.现在.大部分人都得倾尽全力...
中立,2024-04-19 15:03:05 北京时间,男,环境容纳量是针对自然环境而言，人类社会是一个超过自然环境的范围的，用k值来形容虽然不准确，但也是最好的能够以高中的思维水平来理解这件事情的解释了
正面,2024-04-19 01:08:52 北京时间,保密,房价和生活成本的共同作用呗，小动物都知道，环境恶劣，资源缺乏就停止大量繁殖了。生个娃就要让自己的生活质量断崖式下跌的话，就缓缓再说呗。
负面,2024-04-18 06:35:10 北京时间,保密,没生孩子我是中产。生了孩子就是破产[doge]
负面,2024-04-18 04:44:58 北京时间,保密,你们会在服务器不好爆率低的全是工作室的服务器开新号吗[吃瓜]
负面,2024-06-02 15:27:57 北京时间,男,吃草就能活的牛马连草都吃不起了  还指望牛马生育？！
中立,2024-04-18 03:42:13 北京时间,保密,人口变少不代表经济不行，而是产业升级，对高级人才和创新性人才增加需求会变大，不再需要遍地廉价劳动力了
正面,2024-04-20 10:36:45 北京时间,保密,打开视频暂停，下拉评论区，最新排序，可惜没找到真实答案
正面,2024-04-19 12:55:49 北京时间,男,"问题的核心是：,1、看看现在 结婚有多难？有几个女人 看得上跟她同一水平的男性？,2、就算好彩 终于结婚了，离婚率多高？,3、以上两条才是两座大山， 否则 谈什么生育？"
负面,2024-06-07 10:44:35 北京时间,男,河南那么大的人口基数，才出生那么点人。感觉已经改变很大了。
负面,2024-06-05 13:39:57 北京时间,保密,我反思什么，车房彩礼怎么结婚？[跪了]
负面,2024-06-03 05:33:44 北京时间,保密,坐着说了差不多十分钟，我用一句话总结：“生娃儿不赚钱”
正面,2024-05-10 04:19:28 北京时间,保密,"似对非对，根子就没说对。,最麻烦的是，真实原因这里还没办法说，一说就禁。,up主说的是从纯利益角度出发，当今社会的劳动力再生成本过高，这点是对的,物质崇拜后的人自然就纯粹从钱来考虑问题了，物质崇拜后不考虑钱，不从利益出发，哪从哪出发，这是对的。,社会是为什么走向主流价值观物质崇拜的？但是最重要的为什么会从纯利益出发，这没说。,这个因并不是简单的城市化造成的。,这就像另外个经典话术，公平和效率是冲突的，这句话就是不谈前提。,在资本主义社会或者说物质崇拜的主流价值观下，公平和效率，确实是冲突的。"
负面,2024-04-20 08:05:07 北京时间,男,现在是以前计划生育的成果期，出生率降低才刚开始呢；而提早宣传新的多生是应该是为了更远的以后人口能维持稳定区间[doge]
负面,2024-04-19 18:31:48 北京时间,男,现在的社会结构，养孩并不能防老，有出息的去了大城市或者出国，这基本就别指望了他给你养老，你还要防着他买房给你要大钱。没出息的留在本地赚那可怜的3000块，你每个月还要资助他，如果你没有退休金，那就更可怜了！
中立,2024-04-19 16:20:43 北京时间,保密,以前上课  老师一直在说人口过多  平均土地  人口密集什么什么的
负面,2024-05-18 00:16:05 北京时间,男,主要是孩子毕业以后工作都找不到，生出来没有用
负面,2024-04-19 03:31:45 北京时间,男,临终时，看着自己用一生的辛劳换来的财富，欣慰地笑了：我离开之后，它将属于全世界人民。[脱单doge]
负面,2024-06-12 12:34:17 北京时间,保密,"家庭思想的转变只是一方面，生育率下降，是因为中国社会发展到生育率下降的阶段了，当年计划生育没有影响?  经济和社会环境难道还能不发展吗？即使不婚不育比以前多了，但是看看自己周围生孩子的还是大多数，不婚不育群体的影响根本没有那么大，非得把生育率和年轻人是否婚育挂钩，好像年轻人全都生，生育率就再也不会下降一样，,网上各种把责任全推给年轻人的言语浪潮，真的很不负责，年轻人不背这个锅....[大哭][大哭][大哭]"
负面,2024-06-11 16:25:04 北京时间,保密,我帮大家算个账，别人家生二胎，你单身，那么二十年内你单人的收入就能比别人家四个人的的人均收入翻一倍。[doge]
中立,2024-05-26 14:15:43 北京时间,保密,耶-----全四光就没人和新生代内卷了！！！
正面,2024-05-21 11:34:40 北京时间,保密,房价和彩礼是大头，事实上现在很多年轻人哪怕不工作，父母也养得起。
中立,2024-05-13 23:39:45 北京时间,男,"我不生，有的是人生，,我这么穷，生出来跟我吃苦吗，"
正面,2024-05-10 01:48:23 北京时间,男,"当环境适宜的时候，生命会选择繁衍后代。当环境恶劣，不适宜生存的时候，生命会不得不倾向优先保全自己生存下去，而不再繁衍后代。,遵从天性是繁衍生息，但人类发展至此靠的不是天性，而是不断的适应环境的变化以及进化，靠的智力与能力的提升。"
正面,2024-05-04 07:19:16 北京时间,保密,"其实吧，没那么复杂，主要原因是：1 大家生活变好了，以前除了生娃养娃这一件打发时间的正事，其它如棋牌麻将喜欢的人有限。2 信息交流极大方便。总结起来，就是除了养育下一代，还有太多的事可以做可以玩，花花世界迷人眼，与之相比，养育下一代消耗的脑力、体力、财力高于了刷手机、刷剧、打游戏。,设想一下：如果娱乐设施反过来，不是脑残化，而是需要高数90分以上的智商、接近体操运动员的敏捷和协调、长跑满分的体能要求，达不到者只能使用定制手机（类似功能机，无法自己安装app，能用微信qq支付宝，但三者中没有小程序，没有游戏）、只能如过去那样看电视（没有点播、没有会员，广告巨多）、不能安装电脑游戏，生育率立刻能从现在不到1回升到接近2。再叠加养娃奖励，例如生养两个娃可以进电影院，两个娃养育到成年可以解锁电脑游戏安装权限，生育三个娃并养育到成年可以解锁智能手机等等，人口再度飙升也不是不可能！,总结：人的时间、精力都是有限的，在最该成家立业和养育下一代的时候，被花花世界迷了心智夺取了过多的时间精力，自然就有大批想单身躺平的"
正面,2024-05-03 12:40:05 北京时间,保密,当环境趋近于恶劣，物种便会停止繁衍。这是地球上所有生命体共有的生物学本能。
正面,2024-04-19 21:18:22 北京时间,男,城镇平均养育儿童支出为3w/年=3K/月，相当于三四线城市挣3.4K工资的普通人基本不用考虑生儿育女，如果你是这样的人，家庭经济一般的情况下，生儿育乐会导致你的可支配收入和家庭财富积累速度大幅下降，简单来说，不管短期还是长期来看，对生活水平的影响都是极大的
正面,2024-04-19 11:15:29 北京时间,保密,中国小农经济早在人民公社建立后就被消灭了，不是在改革开放后。
中立,2024-04-19 01:58:40 北京时间,男,都说刚毕业到30岁是黄金年龄，是因为他们上不用养老，下可能也不用养小，一般不会有大病支出，他们唯一需要的就是努力赚钱买房、攒彩礼，但这个年龄又是老板压榨最狠的年纪，说句不好听的，能在30岁以后不因为亚健康影响工作就可以烧高香了。
中立,2024-04-18 03:31:41 北京时间,保密,大学生出来没工作，咋整？辛辛苦苦求学十几年图的啥，不就是为劳动尊严，生出来干啥？
中立,2024-04-18 04:38:48 北京时间,男,一点影响没有，等人口少到一定数量生态环境好了自然就解决了
正面,2024-04-18 06:11:43 北京时间,保密,什么叫底层拒绝生育，明显是中产拒绝生育，而且是喜欢享受生活的单身人士，真正的底层都是比较传统的，大都要生儿育女。
中立,2024-06-08 14:47:39 北京时间,保密,强人工智能出现。人类就真正末日了
正面,2024-06-07 04:08:33 北京时间,保密,分析的很精辟！！部分年轻人醒悟了思想转换了，更多的是老年人还有些农村的受教育程度低的人思想保守！
负面,2024-05-14 09:07:46 北京时间,保密,出生人口还有这么多啊，我觉得90后还是强[doge]
正面,2024-05-03 21:23:32 北京时间,女,以现在的数据来看，8亿附近才是一个健康的人口数量。大多数国家发展都经历过人口膨胀-经济泡沫-高压内卷-生育率降低-老龄化这个过程，但是目前世界上还没出现一个非常漂亮的解决方案。
负面,2024-04-22 01:31:41 北京时间,男,其实工作不好找现在已经和人口多没关系了，因为它们把一个劳动力当七八个来使当然没有工作岗位，当然失业率高导致的必然条件肯定是人口下滑[OK]
正面,2024-04-21 02:12:45 北京时间,男,说白了，就是人太多了，人少你看工资加不加
负面,2024-04-20 05:34:10 北京时间,保密,养儿能不能防老，做儿子20年了我能不知道嘛[doge]
中立,2024-04-19 11:04:49 北京时间,保密,别瞎扯了，中国出生人口下降只会让人均资源上升，让人民生活水平增高。2024年第一季度中国GDP增长5.3％，经济持续高速增长。
负面,2024-04-18 04:39:19 北京时间,保密,人少了 人均GDP不就上来了吗[doge][doge]
中立,2024-04-24 01:42:16 北京时间,保密,看弹幕就很有意思，刚吃饱饭不足两代人，吃好饭也就一代人，很多人就开始和近代史做切割了，好像没有新中国他们也能锦衣玉食似的…我是山河四省的90后，刚记事那会记得是一日两餐，到小学才普及的一日三餐
负面,2024-04-20 15:56:10 北京时间,男,T0太多了，孔老夫子还是可以用的[妙啊]
中立,2024-06-12 02:08:57 北京时间,男,你知我知天知地知
负面,2024-06-11 10:08:55 北京时间,男,"上班:没时间谈,不上班:没钱谈"
负面,2024-05-28 01:07:19 北京时间,保密,有车的人很多，但是车位很少
正面,2024-05-13 00:55:49 北京时间,保密,归根结底的原因，是我们的物质基础依旧不够足够丰富，人口和就业的矛盾依旧尖锐，民众的生存压力依旧艰巨，现在谈什么成功还为时过早，革命尚未成功，诸君仍需努力。
负面,2024-05-12 17:12:46 北京时间,保密,正是因为看清了自己，无法给父母带来幸福，也无法给下一代带来幸福，所以才决定不生。如果你是有一点良心的人，看着自己父母含辛茹苦养育自己，长大后却无法让父母享清福甚至要啃老，是否有那么一刻觉得自己不应该出生在这个世上？尽管你的出生并不是由你决定，父母也没有给到自己最优质的生活与教育，但自己是否又有那么一个深夜在想，自己是那么无力，明明已经倾尽全力却无法往阶梯上再迈进一步。经历过生活的苦，品尝过精神的痛，即便如此你也要生下一个孩子，让其跟你承受一样的痛苦吗？
正面,2024-05-10 11:14:26 北京时间,保密,现在有网络了，一个人也能解决社交需求，再买个杯子解决生理需求，人类本能那一套也不好使了
负面,2024-05-03 08:32:50 北京时间,男,0氪玩家安份点屯屯资源自己用用就够了
负面,2024-04-29 14:49:11 北京时间,男,"老子一天tm在厂里干12-14甚至16小时，我谈恋爱？我结婚生孩子？没在厂里猝死就很不错了，请假条一天才批到下午5点半，但是实际上都是10点到11点下班,赶紧回去睡觉然后第二天七点爬起来上班，日复一日，工作时收手机，禁止交谈，回家种地更是不可能，一年到头不如工厂两个月多，攒钱干什么，还不是买车买房，当然我也不打算买房，顶多买车，这一个目标够我十年了，工资4000-5000一个月，我一个月攒不到3000。,在河南除了酒店每天八小时一个月2800没听过八小时的工作（不排除信息差）自由但是只能保证最低限度的吃饭，谈恋爱不给对象花钱那就约等于没谈，谈恋爱的基础是有足够的时间陪伴，有固定的工资，两情相悦，在这基础上才能结婚生育，穷苦人连这个都不配"
负面,2024-04-20 09:30:24 北京时间,男,现在还考虑结婚生孩子的有一个算一个都是脑子有问题
负面,2024-04-19 17:52:42 北京时间,保密,挺好的你自己攒钱过好自己享受一生就好了生孩子这种现在普通人真不适合，除非是那种什么都不想就纯为了生而生的
中立,2024-04-19 10:56:50 北京时间,保密,环境不适合繁衍，动物们会迁移到适合的地方，找不到适合的地方或者无法迁移就会停止繁衍
负面,2024-04-18 17:44:29 北京时间,保密,一个月两千几养活自己都难[呲牙]
中立,2024-04-18 15:05:59 北京时间,保密,"其实人自始至终都是个人利益为第一的生物,为什么英雄伟大 因为能做到的人太少 ,现在很多所谓的亲戚为什么感觉越来越疏远,最主要原因还真就是这社会不需要抱团就能存活的更自在,人性真就是最经不起考验的 ,最近考虑一个问题 如果犯罪的成本降低 收益变大 那么这世界会变成啥样呢"
负面,2024-04-18 04:59:39 北京时间,保密,虽然看到了更多社会的真相，也更焦虑了。
负面,2024-04-18 04:34:23 北京时间,男,这逻辑有问题，就好比鸡生蛋，蛋又孵鸡，鸡又生蛋那种，实际上有这么简单吗
负面,2024-06-02 13:42:28 北京时间,男,等世界只有俄罗斯 中国 朝鲜 阿富汗 伊朗 也门 黎巴嫩 巴勒斯坦 委内瑞拉 等这些国家  敌人都被彻底消灭了 世界美好了😁   那时生孩子的也许就多了？
负面,2024-05-04 13:26:30 北京时间,保密,"对于生育率下降，我给出的答案是：婚姻对女性要求过低，导致女性不思进取；婚姻法过度保护女性权益，导致男性权益丧失；基于社会现状，男性开始觉醒。,,受传统因素影响，社会默认女性会履行繁衍义务，于是主动调低了女性的社会贡献基准线——不要求女方有多少经济贡献或是承担多少社会责任，只要她愿意生育，那就可以享受安定的生活。而生育这个东西，在更年期之前都会保留。没有相关法律约束，女性在更年期前，都可以说自己“愿意生育，只是现在不愿意”。,,但，相关的低社会贡献，低经济门槛却保留了下来……只要她能养活自己，那就能够说自己是“独立女性”，从而拒绝承担额外的社会贡献——但是她们真的生了么？真的履行了生育义务么？,,并没有。,,看到女性没有履约，官方的第一想法是“给出的条件不够优厚，保障还没做到位”，于是加大力度增加女性权益，男方却没有一丝一毫的改变——哪怕已经有了婚姻关系，生育权也不做任何转移。,,但是，在生育权不做转移的前提下，“财产婚内共有，离婚酌情多分”却成为了女性在婚姻中能切实享受到的权力……就像商家既有不出货的权利，还有不经你同意就划扣你账户款项的权力——于是，离婚率上去了，结婚率下去了。,,经历了这么一波的男性也逐渐觉醒了：自己结婚图啥？图的不就是约定成俗的婚后待遇么！既然婚后待遇不受法律保护，那不结婚就是了……诶！如果自己已经设法享受到了婚后待遇……自己结婚的理由又是什么？,,于是，结婚率垮了。当婚姻制度瓦解后，女性再无法律保障，生育行为就变成了古代的样子：赌这个男人会为孩子提供经济，赌这个男人会为自己提供保障……但，有几个人敢赌的？,,于是，生育率也垮了。"
正面,2024-04-18 03:01:26 北京时间,男,差不多得了，以前人没钱也生啊，社会观念和风气变化了才这样的
中立,2024-04-24 09:04:08 北京时间,男,夹带私货，有点意思，真真假假的东西混到一块儿讲
正面,2024-04-18 11:54:51 北京时间,男,生育率下降和老龄化确实是不可阻挡的趋势，但是，计划生育加快了老龄化到来的速度，加剧了老龄化的程度。所以从单个政策层面来讲，计划生育是当年最祸国殃民的政策之一。
中立,2024-05-30 14:33:32 北京时间,保密,河南出生69.5，按复读占一半来算，18年后高考人数和其实现在差不多，虽然一直说一点点减人口，但也就那样，基数太大，减几十年才能和美差不多
中立,2024-05-16 02:51:08 北京时间,保密,"能够看到对社会尖锐问题进行讨论，我就感到非常的开心。于是我也静下心来思考了一番。下面是我对生育率下降问题，目前的总结。如有缺少或者错误还请指教！,1、婚姻是对性的需要（就算没有伴侣，现代的人对性的释放也有很多方式）,2、婚姻是对自身行为的一种束缚（也有很多方面会有好的获得，但现阶段的社会平均感受是：得到的苦大于乐）,3、现阶段的结婚成本远大于家庭的平均存款,4、当代让人消遣的方式更加丰富、有趣（相对于以前的社会，自己一个人也可以很快乐）,5、为什么要生孩子的原因在不断变化（现社会阶段）,6、养育孩子需要的钱远超平均收入,7、培养孩子需要巨大的时间和精力（对孩子负责人的人群），现社会阶段的平均休息时间远低于培养时间。"
正面,2024-05-15 15:36:35 北京时间,保密,摒弃儒家思想很重要
负面,2024-05-15 05:45:30 北京时间,保密,都搁这儿看爽文儿来了[doge][doge]
中立,2024-05-14 12:17:48 北京时间,保密,我连自己的未来都看不清，更别提我以后孩子的未来了。
负面,2024-05-13 10:20:06 北京时间,男,没钱没时间，难道要怀着孕在工位上生产吗
正面,2024-05-13 05:36:46 北京时间,保密,这不是计划生育已经成功了吗，这是大好事儿啊!
中立,2024-05-13 03:13:23 北京时间,保密,前面说的还行，后面就开始全是臆测了，日韩给补贴生育率不见提高是不假，但是你猜猜要没有补贴，那生育率恐怕就不是不见提高那么简单了吧？
正面,2024-05-12 10:36:00 北京时间,保密,经济下行期什么妖魔鬼怪都冒出来了。将生育问题转变为利害关系是不可取的，你们是一个个活生生的人，不是资本异化的生产工具，孕育下一代的与否可以是任何一个原因，但是不能够片面的归咎于简单的加减法。
中立,2024-05-10 05:15:38 北京时间,保密,"很简单的道理，任何生物都是在环境适宜的时候才会繁衍后代。人类个体可能会有各种各样的情况，但总体上必然是符合自然规律的。,自然环境、社会环境都是环境，生存环境也不仅仅是短期物质条件，还有稳定性、群体压力等等一系列影响因素。,有些人就是故意避而不谈实际问题，然后说些屁话转移矛盾，纯粹就是扯淡。"
中立,2024-05-04 12:22:18 北京时间,男,一天上几个小时的班？还没有双休
负面,2024-05-03 02:52:52 北京时间,保密,弹幕里还有很多人怪房价，本质上还是小农经济思维。对于从小发达地区长大的市区居民来说，生孩子对自己纯属负资产，我刷副本还能掉装备呢，生娃要钱要命，弄不好全是白给[doge]
负面,2024-04-29 14:42:19 北京时间,男,UP记得关私信，小心被阿B百万小粉红冲爆[吃瓜]
负面,2024-04-25 05:50:01 北京时间,男,"目前月入1w，每周995，不想生孩子[藏狐],原因很简单，一个是养孩子成本太高：一年也就攒五六万块钱，养个孩子就别想攒钱了，生活质量肯定大受影响；第二个是995的工作也没时间照顾孩子，打理好自己都费劲还想养孩子呢。,那问题来了，在私企工作普遍996，月入普遍不到5000的现实下，有多少人愿意去养这个孩子？天天就知道喊口号你替我养还是你给我分担经济压力？"
负面,2024-04-23 03:28:27 北京时间,保密,年轻人不想生孩子是年轻人的问题吗
中立,2024-04-22 23:52:09 北京时间,男,00后表示:跳出三贷之外，不在五险之中
中立,2024-04-22 16:19:22 北京时间,保密,"家里条件很一般，真的对未来没有信心，大学毕业以后累死累活一个月3000多还没社保(问就是小地方都不给交)，出去一线发现每个月恨不得还要亏钱，房租2000+自己做饭生活，已经超过我工资了，就是这么坑，毕业两年了干了好几家，目前也没遇到过会交社保的单位,最致命的还是我父母是60年代的人我是00后，这思想差距大到我想自杀，不仅有普通父母的那些问题，甚至更厉害，还停留在棍棒屈服模式，真的特别特别痛苦，他们思想还停留在以前一分钱没有还能生你现在为什么不行，也不许我太远，重男轻女还是有，觉得女孩找个好男人嫁了就可以了，在家完全一句话都说不成，真的很窒息，现在在小县城搬出来住，平白增加我的生活成本，这日子一点盼头都没有，还生什么啊"
中立,2024-04-21 13:30:53 北京时间,保密,以前EA有个经典RTS游戏叫《野兽与乡巴佬》，里面的村民要增加人口得满足一堆条件，否则搞不好最后人口老化死光你就只能看着一个空村落自觉读档
正面,2024-04-21 12:46:18 北京时间,女,太卷了，我不生了，中国卷的我太痛苦了
正面,2024-04-21 09:02:40 北京时间,保密,主要是单身巨爽，收支自由，父母压力也小，唯独无后，至于孤独，纯属扯淡，孤独个毛线
中立,2024-04-21 08:22:00 北京时间,保密,如果生孩子是社会的责任，请社会履行抚养义务。如果生孩子是个人的责任，请社会尊重个人的选择。句句不谈薪资，条条不离奉献，桩桩不谈好事，事事皆讲境界。如果个体的困顿和集体无关，那么集体的荣辱又和个体有什么关系呢？ 
负面,2024-04-21 07:45:56 北京时间,保密,视频说了点实话 把一些思想已经固化的可怜老鬼弄破防了  哈哈
中立,2024-04-21 06:42:43 北京时间,男,n.小楚：学生时代被逼只允许读书，社交能力为零，毕业后没找到工作，在家蹲着刷手机打游戏
正面,2024-04-19 19:19:47 北京时间,保密,工薪阶层的人自己一个人活好就够了，我一想到结婚需要彩礼，车贷房贷，光想想都焦虑。
负面,2024-04-19 18:19:57 北京时间,保密,我自己什么样子我不知道[吃瓜]养个崽要花多少力气自己心里最清楚了。
负面,2024-04-19 17:41:42 北京时间,保密,看看数据明显发现，富裕地方的出生率都高。非要说贵州的话，那里也有资源倾斜。
负面,2024-04-19 15:26:40 北京时间,保密,毕生奋斗甚至成不了帕鲁 神不神奇 意不意外[吃瓜]
负面,2024-04-19 14:22:26 北京时间,保密,身边一堆没有房子没资格谈恋爱的男士，和一堆打算找有一线房子的优质剩女
中立,2024-04-19 12:10:40 北京时间,男,你这视角我之前就有这个观点但是没你讲的这么透彻  6 啊
正面,2024-04-19 02:46:31 北京时间,保密,以前谁平分家产？我爷爷说过太爷爷有4兄弟但是独占家产的就是我们家，其他叔祖都要出去自谋生路。
正面,2024-04-19 01:12:54 北京时间,男,还用问？肯定是美国干的。别问我为什么，反正就是美国干的。
中立,2024-04-19 01:03:15 北京时间,男,讲个有意思的现象，这个现象在四川很常见，四川的其他城市，例如绵阳，自贡，达州，盐亭等等，这些城市70%以上的年轻人和高学历人才，全部集中在成都或者外省，四川的二三线城市基本都是中老年人，年轻人非常少。
负面,2024-04-19 00:21:43 北京时间,保密,我怕这视频啪的一下就没了[脱单doge][doge][妙啊][歪嘴][滑稽]
正面,2024-04-18 05:50:47 北京时间,保密,农村不让盖房子了，全赶上城里了，你想留没有房地你能去哪里？要不是没地方去谁愿意挤进城市，待在乡下生活轻松惬意，没有那么多杂质，也没有那么多纷扰。
